GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_900138225.1	4205838	GCF_900138225.1	4237468	
GCA_900132245.1	4210878	GCF_900132245.1	4239988	
GCA_900137105.1	4210318	GCF_900137105.1	4239308	
GCA_900134625.1	3875758	GCF_900134625.1	3896718	
GCA_900133715.1	4210998	GCF_900133715.1	4229748	
GCA_900132925.1	4214438	GCF_900132925.1	4242208	
GCA_017176085.1	25341028	GCF_017176085.1	25443608	
GCA_900131075.1	3870438	GCF_900131075.1	3893078	
GCA_900133615.1	4214258	GCF_900133615.1	4241688	
GCA_900137825.1	3877678	GCF_900137825.1	3897318	
GCA_002802565.1	5689818	GCF_002802565.1	5693868	
GCA_002799875.1	5687138	GCF_002799875.1	5696228	
GCA_900137025.1	4215938	GCF_900137025.1	4241288	
GCA_900131015.1	3874438	GCF_900131015.1	3897438	
GCA_900131165.1	3865898	GCF_900131165.1	3887898	
GCA_900136355.1	3876338	GCF_900136355.1	3898978	
GCA_900139065.1	4212678	GCF_900139065.1	4236968	
GCA_900139215.1	3872658	GCF_900139215.1	3894978	
GCA_900141585.1	4206458	GCF_900141585.1	4235848	
GCA_900132635.1	4207918	GCF_900132635.1	4239208	
GCA_900136515.1	4214178	GCF_900136515.1	4231228	
GCA_900137275.1	3876398	GCF_900137275.1	3896658	
GCA_900134715.1	3871218	GCF_900134715.1	3894218	
GCA_900137435.1	3876658	GCF_900137435.1	3898878	
GCA_900133955.1	3871118	GCF_900133955.1	3894178	
GCA_900131545.1	4211558	GCF_900131545.1	4235368	
GCA_900138305.1	4206258	GCF_900138305.1	4234908	
GCA_900138195.1	4210458	GCF_900138195.1	4228848	
GCA_900131625.1	3866358	GCF_900131625.1	3889058	
GCA_900139245.1	3873118	GCF_900139245.1	3896138	
GCA_900135805.1	4205758	GCF_900135805.1	4235628	
GCA_900137205.1	3876438	GCF_900137205.1	3898078	
GCA_900135655.1	3874058	GCF_900135655.1	3896398	
GCA_900135215.1	3869698	GCF_900135215.1	3894918	
GCA_900138035.1	4215038	GCF_900138035.1	4231528	
GCA_900137385.1	4212478	GCF_900137385.1	4229088	
GCA_900137515.1	3876878	GCF_900137515.1	3897598	
GCA_900133585.1	4295048	GCF_900133585.1	4305848	
GCA_900138235.1	4206618	GCF_900138235.1	4231768	
GCA_900133605.1	4214978	GCF_900133605.1	4240228	
GCA_900133555.1	4209338	GCF_900133555.1	4228528	
GCA_900134895.1	4213578	GCF_900134895.1	4230048	
GCA_900137985.1	4212498	GCF_900137985.1	4239088	
GCA_900131515.1	4209798	GCF_900131515.1	4232468	
GCA_900141255.1	4204658	GCF_900141255.1	4235228	
GCA_900133835.1	3875438	GCF_900133835.1	3896378	
GCA_900135135.1	4213978	GCF_900135135.1	4230208	
